index,regime,q,day,value
NDX,HHL,90,1,1.692
NDX,HHL,90,2,2.079
NDX,HHL,90,3,2.97
NDX,HHL,90,4,3.54
NDX,HHL,90,5,3.812
NDX,HHL,90,6,4.325
NDX,HHL,90,7,5.29
NDX,HHL,90,8,5.346
NDX,HHL,90,9,5.471
NDX,HHL,90,10,4.914
NDX,HHL,90,11,5.745
NDX,HHL,90,12,6.081
NDX,HHL,90,13,6.587
NDX,HHL,90,14,6.92
NDX,HHL,90,15,7.13
NDX,HHL,90,16,7.277
NDX,HHL,90,17,7.505
NDX,HHL,90,18,7.316
NDX,HHL,90,19,7.291
NDX,HHL,90,20,7.012
NDX,HHL,90,21,7.405
NDX,HHM,10,0,0.0
NDX,HHM,10,1,-1.601
NDX,HHM,10,2,-2.316
NDX,HHM,10,3,-2.734
NDX,HHM,10,4,-3.141
NDX,HHM,10,5,-3.398
NDX,HHM,10,6,-3.311
NDX,HHM,10,7,-3.683
NDX,HHM,10,8,-4.316
NDX,HHM,10,9,-4.462
NDX,HHM,10,10,-4.976
NDX,HHM,10,11,-4.684
NDX,HHM,10,12,-4.936
NDX,HHM,10,13,-5.88
NDX,HHM,10,14,-5.55
NDX,HHM,10,15,-5.34
NDX,HHM,10,16,-5.389
NDX,HHM,10,17,-5.632
NDX,HHM,10,18,-5.093
NDX,HHM,10,19,-5.019
NDX,HHM,10,20,-4.893
NDX,HHM,10,21,-5.866
NDX,HHM,25,0,0.0
NDX,HHM,25,1,-0.559
NDX,HHM,25,2,-1.042
NDX,HHM,25,3,-1.419
NDX,HHM,25,4,-1.328
NDX,HHM,25,5,-1.341
NDX,HHM,25,6,-1.294
NDX,HHM,25,7,-1.604
NDX,HHM,25,8,-1.588
NDX,HHM,25,9,-1.703
NDX,HHM,25,10,-2.095
NDX,HHM,25,11,-2.5
NDX,HHM,25,12,-2.423
NDX,HHM,25,13,-2.613
NDX,HHM,25,14,-2.705
NDX,HHM,25,15,-2.367
NDX,HHM,25,16,-1.781
NDX,HHM,25,17,-1.736
NDX,HHM,25,18,-1.021
NDX,HHM,25,19,-0.24
NDX,HHM,25,20,-0.277
NDX,HHM,25,21,-0.241
NDX,HHM,50,0,0.0
NDX,HHM,50,1,0.033
NDX,HHM,50,2,0.103
NDX,HHM,50,3,0.112
