index,family,cell,corr_regime,dix_regime,n_days,n_eps,gate,mae_med,mae_q25,mae_p10,mae_worst,trough_d,mfe_med,mfe_q75,peak_d,giveback_med,dip3,dip5,dip8,dip12,touch_m3,touch_m5,touch_m8,touch_m12,touch_p3,touch_p5,touch_p8,touch_p12,rv21_med,rv21_p90,vratio_med,vratio_gt1,vr21,z_gt1,z_gt2,ivrp_med,iv_exceeded,size_q25,size_p10,rr,ci_mean_r_lo,ci_mean_r_hi,ci_mae_q25_lo,ci_mae_q25_hi,ci_touch_m5_lo,ci_touch_m5_hi,ci_vratio_lo,ci_vratio_hi,ci_z_gt2_lo,ci_z_gt2_hi,ci_ivrp_lo,ci_ivrp_hi
NDX,ENV,VolHighxDIXLow(l1),VolHigh,DIXLow,143,30,True,-3.8053967444739767,-6.755671582094063,-10.75999421390723,-21.772479438129555,10.0,3.8090204369274128,7.25322144159708,14.0,2.0358478583021755,58.04195804195804,37.76223776223776,16.783216783216783,6.993006993006993,58.04195804195804,37.76223776223776,16.783216783216783,6.993006993006993,65.03496503496503,40.55944055944056,22.377622377622377,13.286713286713287,24.104228221575745,50.930760713213495,0.8740326455991356,32.86713286713287,0.5854307953767969,16.083916083916083,4.895104895104895,4.362383785617503,23.776223776223777,14.802377348397224,9.293685294993056,0.22238906921191437,-0.3824960038032284,5.875118522553341,-10.228879902790776,-4.859880555273111,22.61759581881533,52.89866760168303,0.7478962724209645,0.9724444303597475,0.0,12.978115542707434,2.3434871693652695,8.520966153186848
NDX,ENV,VolHighxDIXMid(l1),VolHigh,DIXMid,181,43,True,-3.2883679464507543,-8.09117559447165,-13.301100725387984,-22.41774356154339,8.0,4.306282156599939,8.129898307291139,12.0,2.3815989138247784,53.89221556886228,42.51497005988024,25.748502994011975,12.574850299401197,53.89221556886228,42.51497005988024,25.748502994011975,12.574850299401197,61.07784431137725,46.706586826347305,25.748502994011975,10.179640718562874,23.944752059718184,51.2421744069673,0.7649136152200582,33.532934131736525,0.6575550677786397,23.353293413173652,4.790419161676647,4.510715204771735,28.143712574850298,12.359143468388655,7.518174778507518,0.17939965879024855,-1.40876861433994,3.8033705599064866,-11.978787563689297,-5.3142379411871605,25.133196721311478,60.252303138938665,0.6794835760141079,1.027634910888671,0.5712671509281678,11.731914832972294,0.5813887168712029,8.896468391342832
NDX,ENV,VolHighxDIXHigh(l1),VolHigh,DIXHigh,214,24,True,-3.33141338564934,-8.20123277229633,-11.815182092121916,-23.528614661908843,5.0,6.042107630606585,9.448280724311175,17.0,1.5728838195186556,52.80373831775701,39.719626168224295,25.70093457943925,9.345794392523365,52.80373831775701,39.719626168224295,25.70093457943925,9.345794392523365,72.42990654205607,60.280373831775705,35.046728971962615,11.214953271028037,26.437572810873597,37.7909856493857,0.7947045888734555,21.49532710280374,0.7007564177317247,21.962616822429908,0.46728971962616817,6.120047347559485,27.102803738317753,12.193288835527124,8.463686739680266,0.5701942211661111,-0.906483293411435,6.282510326199921,-10.636445343219869,-3.3450704225352013,14.432525308813968,61.32866420628834,0.6298710673995724,0.9151751571026768,0.0,2.112676056338028,1.2278623035920013,9.76898837511008
SPX,ENV,LowCorr,LowCorr,,712,38,True,-1.844100914361746,-3.451794333996727,-5.178100703289845,-10.03540285151262,8.0,2.4715041557583195,3.57935155003265,16.0,0.8841445728253516,29.232995658465992,10.998552821997105,1.7366136034732274,0.0,29.232995658465992,10.998552821997105,1.7366136034732274,0.0,38.92908827785818,8.5383502170767,0.5788712011577424,0.0,12.282069203180935,17.956380711247956,1.157169762059816,66.71490593342982,0.6185220362642542,38.35021707670043,3.762662807525326,4.3104706959432555,11.432706222865413,28.970439813027056,19.312100271913636,0.35606265314571783,0.05850924643593838,1.5378429095365407,-4.488568247172342,-2.5965413529825097,4.269736956685805,20.206778892020637,1.061369305444826,1.2606408807070513,0.9126407274526784,7.96582061548007,3.494948179563753,4.9534003021599
SPX,ENV,MidCorr,MidCorr,,401,51,True,-1.4004695906677744,-3.4731659127556047,-6.959694717391129,-12.423818941390563,8.0,3.1156361616952566,5.113975144478444,18.0,0.6113219005722259,30.92269326683292,17.206982543640898,7.73067331670823,0.4987531172069825,30.92269326683292,17.206982543640898,7.73067331670823,0.4987531172069825,51.3715710723192,25.6857855361596,3.4912718204488775,0.4987531172069825,12.609115937369662,22.607109559622618,0.9047779302563366,40.14962593516209,0.9485060925929304,41.14713216957606,5.985037406483791,6.260280738514835,8.728179551122196,28.79217478000069,14.368446327123586,0.5738243715509407,0.08828083542715774,2.6500305478693345,-5.2950056429579195,-2.3323187316985816,6.999650863210614,28.68449656750572,0.7749910895220256,1.0302888560298258,1.4416607648725213,12.089768339768328,4.715512534726285,7.400822181371859
SPX,ENV,HighCorr,HighCorr,,314,14,True,-2.067419751266708,-5.507359600952938,-9.828671724241532,-13.724680366652297,6.0,4.777135721049208,7.165192419159316,17.0,1.2353946830920393,40.12738853503185,27.70700636942675,17.51592356687898,3.1847133757961785,40.12738853503185,27.70700636942675,17.51592356687898,3.1847133757961785,67.19745222929936,46.81528662420382,19.10828025477707,2.8662420382165608,18.73420186360631,30.319533584579613,0.8191198438186433,25.477707006369428,0.6896776404637027,31.528662420382165,1.910828025477707,4.73652863555564,19.426751592356688,18.15752143417274,10.174314780842565,0.6113226708387474,0.660283321111686,3.942878277520856,-7.00900259323034,-2.4402901459086745,11.109929078014185,37.176102909944,0.6539182012570937,0.9216361866474343,0.0,3.8127942382669833,3.3494369875438217,7.767990943794994
SPX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,292,42,True,-1.8760978502290193,-3.531750958102581,-4.987531865078254,-10.03540285151262,8.0,2.3968377568227117,3.4471538026297988,13.0,1.3662299058306404,30.584192439862544,9.621993127147768,1.3745704467353952,0.0,30.584192439862544,9.621993127147768,1.3745704467353952,0.0,33.67697594501718,5.498281786941581,0.3436426116838488,0.0,12.721276053130547,16.33457719897629,1.1254901076396524,61.512027491408936,0.574839487653897,30.240549828178693,3.7800687285223367,4.111780144633833,10.309278350515463,28.31456724619241,20.049997214089178,0.19178575920232996,-0.3912562455589129,1.3178967019836705,-4.634361321524894,-2.5684143299617213,3.809394409937888,17.959622489032547,0.999021407201546,1.253438106860137,1.311261814492444,8.662273194111602,3.2067915580783404,4.99724790906266
SPX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,275,65,True,-1.8875853171711698,-3.193316024516324,-5.234806077358572,-9.659564483462956,8.0,2.5360846840424722,3.7043817811953983,17.0,0.5863571242123777,26.666666666666668,10.588235294117647,2.7450980392156863,0.0,26.666666666666668,10.588235294117647,2.7450980392156863,0.0,42.745098039215684,11.372549019607844,1.1764705882352942,0.0,12.160927766150795,18.95326793734572,1.2603698091065128,74.90196078431373,0.6634717443077591,43.92156862745098,4.313725490196078,4.330414863154525,14.50980392156863,31.315409822348077,19.102904390769513,0.5261698389948182,0.31504073429057755,1.9731788630989564,-4.093831851363383,-2.4680480328377774,4.090866846907739,19.27358235823582,1.0978538616160387,1.3568038072251731,0.8062903225806451,8.935830002103929,3.447506528643549,5.244009698229462
SPX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,144,27,True,-1.2154755224310976,-3.533165634638802,-6.047995550920124,-8.405607875457532,8.0,2.632409381615275,3.7985274477010442,17.0,0.6933600245452642,31.25,14.583333333333334,0.6944444444444444,0.0,31.25,14.583333333333334,0.6944444444444444,0.0,42.36111111111111,9.722222222222223,0.0,0.0,11.103448102535213,18.34805677256235,1.10849071220749,62.5,0.5998908912319171,45.13888888888889,2.7777777777777777,4.4932582846141,8.333333333333332,28.30323011737973,16.534403697566592,0.4793983098542066,-0.3802903127166249,2.4286999068378408,-5.633678379241325,-1.5151087552832407,1.6659836065573772,30.19238923044306,0.870894679265418,1.2878572121732623,0.0,9.60096385542168,2.7451001809715265,5.499181256543675
SPX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,82,21,True,-1.8478367189433298,-3.520312429836667,-4.388384997693229,-12.158405726129995,7.5,3.2136419527391435,5.722337565067187,19.0,0.4087563489673878,34.146341463414636,8.536585365853659,7.317073170731707,1.2195121951219512,34.146341463414636,8.536585365853659,7.317073170731707,1.2195121951219512,52.4390243902439,31.70731707317073,10.975609756097562,2.4390243902439024,14.101711144001793,18.420214262756836,0.988565224684205,48.78048780487805,0.7270062915232992,40.243902439024396,15.853658536585366,6.4818474669736,8.536585365853659,28.40656958525688,22.78742636586475,0.5619391661062483,-0.278025475325001,5.2646603331224515,-7.674244979591283,-1.5810473892884829,0.0,27.72970297029699,0.7664682217669343,1.1124656254455634,0.0,41.18479467258597,4.641067613140184,8.784566371320532
