ticker,added,removed
GOOGL,2018-08-01,
HAS,2018-08-01,2019-12-23
HOLX,2018-08-01,2018-12-24
HON,2021-07-21,
HONA,2026-06-29,
HSIC,2018-08-01,2019-12-23
IDXX,2018-08-01,
ILMN,2018-08-01,2024-12-23
INCY,2018-08-01,2021-12-20
INSM,2025-12-22,2026-06-22
INTC,2018-08-01,
INTU,2018-08-01,
ISRG,2018-08-01,
JBHT,2018-08-01,2019-12-23
JD,2018-08-01,2023-12-18
KDP,2020-10-19,
KHC,2018-08-01,
KLAC,2018-08-01,
LBTYA,2018-08-01,2020-12-21
LBTYK,2018-08-01,2020-12-21
LCID,2021-12-20,2023-12-18
LIN,2024-03-18,
LITE,2026-05-18,
LRCX,2018-08-01,
LULU,2018-12-24,2025-12-22
MAR,2018-08-01,
MCHP,2018-08-01,
MDB,2023-12-18,2025-05-19
MDLZ,2018-08-01,
MELI,2018-08-01,
META,2022-06-09,
MNST,2018-08-01,
MPWR,2025-12-22,
MRNA,2020-07-20,2024-12-23
MRVL,2020-12-21,
MSFT,2018-08-01,
MSTR,2024-12-23,
MTCH,2020-12-21,2022-12-19
MU,2018-08-01,
MXIM,2018-08-01,2021-08-26
MYL,2018-08-01,2019-12-23
NBIS,2026-06-22,
NFLX,2018-08-01,
NLOK,2019-11-05,2019-12-23
NTAP,2018-12-24,2020-08-24
NTES,2018-08-01,2022-12-19
NVDA,2018-08-01,
NXPI,2018-11-05,
ODFL,2022-01-24,
OKTA,2020-12-21,2022-11-21
ON,2023-06-20,2025-12-22
ORLY,2018-08-01,
PANW,2021-12-20,
PAYX,2018-08-01,
PCAR,2018-08-01,
PDD,2020-08-24,
PEP,2018-08-01,
PLTR,2024-12-23,
PTON,2020-12-21,2022-01-24
PYPL,2018-08-01,
QCOM,2018-08-01,
QRTEA,2018-08-01,2018-12-24
REGN,2018-08-01,
RIVN,2022-12-19,2023-06-20
RKLB,2026-06-22,
ROP,2023-12-18,
ROST,2018-08-01,
SBUX,2018-08-01,
SGEN,2019-12-23,2023-12-14
SHOP,2025-05-19,
SHPG,2018-08-01,2018-12-24
SIRI,2018-08-01,2024-06-24
SMCI,2024-07-22,2024-12-23
SNDK,2026-04-20,
SNPS,2018-08-01,
SOLS,2025-10-30,2025-11-06
SPCX,2026-07-01,
SPLK,2019-12-23,2022-12-19
SPLK,2023-12-18,2024-03-18
STX,2018-08-01,2018-12-24
STX,2025-12-22,
SWKS,2018-08-01,2022-12-19
SYMC,2018-08-01,2019-11-05
TCOM,2019-11-05,2021-12-20
TEAM,2020-12-21,2026-04-20
TER,2026-06-22,
TMUS,2018-08-01,
TRI,2025-07-28,
TSLA,2018-08-01,
TTD,2023-07-17,2025-12-22
TTWO,2018-08-01,2020-12-21
TTWO,2023-12-14,
TXN,2018-08-01,
UAL,2018-12-24,2020-06-22
ULTA,2018-08-01,2020-12-21
VOD,2018-08-01,2018-12-24
VRSK,2018-08-01,2026-06-22
VRSN,2018-12-24,2022-12-19
VRTX,2018-08-01,
VSNT,2026-01-05,2026-01-09
WBA,2018-08-01,2024-07-22
WBD,2022-12-19,
WDAY,2018-08-01,
WDC,2018-08-01,2020-10-19
WDC,2025-12-22,
WLTW,2018-12-24,2020-04-30
WMT,2026-01-20,
WYNN,2018-08-01,2019-12-23
XEL,2018-11-19,
XLNX,2018-08-01,2022-02-22
XRAY,2018-08-01,2018-11-19
ZM,2020-04-30,2023-12-18
ZS,2021-12-20,2026-06-22
